osmid,y,x
5716477055,21.0084602,105.796923
5716477056,21.0086027,105.7968093
5716537675,20.9908641,105.8039379
5716537702,20.9914949,105.8028999
5716544649,21.0074531,105.7902372
5716616005,21.0161979,105.8155077
5716649671,21.0158351,105.8054952
5716670117,21.0172304,105.806779
5716670118,21.0169883,105.8065127
5716670119,21.0139555,105.8032963
5716670621,21.0172689,105.8066163
5716670628,21.0152529,105.8053545
5716807749,20.9919103,105.7853208
5716807750,20.9931007,105.7876539
5717115613,20.9920241,105.7852402
5718868836,21.0213584,105.8184352
5718871870,21.0148001,105.8047308
5718886024,21.0237062,105.7898572
5718916274,21.0202794,105.8083528
5718916291,21.0195374,105.8081469
5718916292,21.0196015,105.8087031
5718916293,21.020156,105.8084976
5718916294,21.0201974,105.8085195
5718916301,21.0192799,105.8079972
5718916302,21.0193691,105.8078179
5718946093,21.0198438,105.8009474
5719031413,21.0279498,105.7855691
5719031414,21.0278171,105.7855502
5719125659,21.0177013,105.8156406
5721511585,21.0282113,105.8124382
5721511586,21.0282354,105.8122828
5828495464,21.0189461,105.8165241
5828999542,21.0137849,105.8131859
5828999543,21.0138575,105.8130615
5831399053,21.0011503,105.8176615
5875603186,21.0015574,105.8178494
5875623873,21.0266314,105.8276362
5898769297,21.0162951,105.783507
5954441639,21.0112777,105.8254518
5954441640,21.0112402,105.825529
5962836764,21.0017265,105.7827563
6044465949,20.9863334,105.8071705
6325815718,21.002891,105.7897227
6325815720,21.003019,105.7899422
6405794494,21.0096805,105.824699
6413551907,20.9830327,105.8153883
6441639163,20.997021,105.8110187
6587550954,21.0163781,105.8041934
6587550955,21.0162922,105.8040789
6587651051,21.0131912,105.8023038
6600206282,20.9870991,105.8062497
6600206283,20.9873361,105.806612
6601012241,20.9968414,105.8111812
6603014206,21.0013002,105.8179713
6603014207,21.0015669,105.8183746
6606566485,20.9953498,105.8153325
6606566487,20.9952116,105.815252
6606566488,20.9956345,105.8148313
6610228314,20.9864662,105.8139489
6610574244,21.0001295,105.8186576
6617292919,21.0008102,105.828317
6621078250,21.0236119,105.7990048
6621078251,21.0235191,105.7989074
6621078260,21.0257321,105.7984135
6621078261,21.0257885,105.7982647
6621357112,21.0060365,105.7918634
6621357115,21.0058676,105.7914673
6621426593,21.0042283,105.7927813
6621426601,21.0045782,105.7931162
6628818468,21.0053433,105.7932134
6628818478,21.0058914,105.7926981
6631796343,21.0280911,105.7876198
6641911209,21.0277728,105.7872549
6644672133,21.0098098,105.8233913
6644672135,21.0115675,105.8214795
6644721587,21.0284143,105.8059355
6647118933,21.0294318,105.8269824
6647145130,21.0291682,105.8275083
6648096523,21.0168911,105.8150291
6648096524,21.0174024,105.8154828
6648096525,21.0155154,105.8142405
6648227219,21.0087365,105.8093255
6648227221,21.0088686,105.8095627
6648227222,21.0125151,105.812203
6648227223,21.0124562,105.8123199
6648227224,21.0122771,105.8121063
6650810650,21.0162793,105.8148522
6650876736,21.0181599,105.8117193
6650876740,21.0173423,105.813385
6650982900,21.0099816,105.8102581
6650982901,21.0098763,105.8104261
6651770209,21.0127721,105.8081266
6651770210,21.0128887,105.8082128
6658364083,20.9756216,105.7818519
6658429241,21.0069778,105.8294801
6659072489,21.002798,105.8195644
6659072490,21.0026033,105.8197736
6659072491,21.0013636,105.8185051
6659072492,21.001638,105.8184796
6659134171,21.0104696,105.8249685
