timestamp,edge_id,speed_kmh,duration_s,distance_m
2025-11-27 15:04:58.025841,1884747789_3779255487,4.13,27,31
2025-11-27 15:04:58.219882,1884765798_6658429241,18.94,103,542
2025-11-27 15:04:58.362274,1884765802_1758629824,14.4,5,20
2025-11-27 15:04:58.548626,1884765802_5674347102,16.2,4,18
2025-11-27 15:04:58.677732,1884765806_1495020912,6.22,11,19
2025-11-27 15:04:58.812316,1884765806_1884765798,12.11,285,959
2025-11-27 15:04:59.061270,1884768305_1314209717,20.62,11,63
2025-11-27 15:04:59.188147,1884768305_1314209699,3.6,37,37
2025-11-27 15:04:59.383396,1884769977_6688503847,9.0,6,15
2025-11-27 15:04:59.574436,1884769977_1884769979,25.2,9,63
2025-11-27 15:04:59.794242,1884769979_6644672133,20.1,12,67
2025-11-27 15:04:59.995072,1884776799_445970799,15.96,113,501
2025-11-27 15:05:00.177835,1884776799_5954441639,15.78,167,732
2025-11-27 15:05:00.367176,1887748894_5875603186,20.25,8,45
2025-11-27 15:05:00.495090,1887751321_1312650077,19.35,8,43
2025-11-27 15:05:00.685980,1887751321_2185731481,28.8,7,56
2025-11-27 15:05:00.867517,1897734810_1897734813,14.8,9,37
2025-11-27 15:05:01.054080,1897734810_5710222979,7.45,160,331
2025-11-27 15:05:01.177526,1897734813_1897734810,12.11,11,37
2025-11-27 15:05:01.383380,1897734813_5093497429,14.85,24,99
2025-11-27 15:05:01.597501,1901865134_1901865135,16.46,7,32
2025-11-27 15:05:01.786576,1901865134_5710136485,17.28,35,168
2025-11-27 15:05:01.916910,1901865135_1901865134,22.18,174,1072
2025-11-27 15:05:02.113828,1901865135_5710673956,28.38,43,339
2025-11-27 15:05:02.251079,1904353550_1884776799,18.36,20,102
2025-11-27 15:05:02.431485,1904360482_2174649908,8.8,9,22
2025-11-27 15:05:02.630913,1904360482_106108917,19.51,62,336
2025-11-27 15:05:02.809515,1919720738_6641911209,0.0,0,6
2025-11-27 15:05:02.978823,1919750981_6631796343,25.92,5,36
2025-11-27 15:05:03.131402,1919750981_1919720738,20.7,8,46
